ident,type,name,latitude_deg,longitude_deg,municipality,iso_region,icao_code,gps_code
YHDY,small_airport,Headingly Airport,-21.33329963684082,138.2830047607422,,AU-QLD,YHDY,YHDY
YHEC,small_airport,Heck Field Airport,-27.7675,153.339444,,AU-QLD,,YHEC
YHEG,small_airport,Hells Gate Airport,-17.455555,138.348899,,AU-QLD,,YHEG
YHEW,small_airport,Hedlow Airport,-23.221954,150.603139,Mulara,AU-QLD,,YHEW
YHGR,small_airport,Hugh River Airport,-24.449255,133.708732,,AU-NT,,YHGR
YHGS,small_airport,Hughes Siding Airport,-30.716622,129.50808,,AU-SA,,YHGS
YHHY,small_airport,Highbury Airport,-16.424148,143.14534,Highbury,AU-QLD,YHHY,YHHY
YHID,medium_airport,Horn Island Airport,-10.585636,142.29277,Horn,AU-QLD,YHID,YHID
YHIL,small_airport,Hillside Airport,-21.718283,119.440334,Hillside,AU-WA,YHIL,YHIL
YHKT,small_airport,Huckitta Airport,-22.943300247192383,135.44700622558594,,AU-NT,,YHKT
YHLC,medium_airport,Halls Creek Airport,-18.2339,127.669998,,AU-WA,YHLC,YHLC
YHLG,small_airport,Hillgrove Airport,-19.642499923706055,145.7969970703125,,AU-QLD,,YHLG
YHLM,small_airport,Hillman Farm Airport,-33.263882,116.819448,Darkan,AU-WA,,YHLM
YHLN,small_airport,Helen Springs Airstrip,-18.438942,133.878407,,AU-NT,,YHLN
YHLS,small_airport,Hillston Airport,-33.49330139160156,145.5229949951172,,AU-NSW,,YHLS
YHMB,small_airport,Hermannsburg Airport,-23.926485,132.807798,Hermannsburg (Ntaria),AU-NT,YHMB,YHMB
YHMH,heliport,Hillary's Marina Helipad,-31.824805,115.734465,,AU-WA,,YHMH
YHML,medium_airport,Hamilton Airport,-37.64889907836914,142.06500244140625,,AU-VIC,YHML,YHML
YHMT,small_airport,Hamilton Airport,-26.719999313354492,135.072998046875,,AU-SA,,YHMT
YHOA,small_airport,Howard Island Airport,-12.095000267028809,135.36199951171875,,AU-NT,,YHOA
YHON,small_airport,Honeymoon Airport,-31.753633,140.664992,Honeymoon Uranium Mine,AU-SA,,YHON
YHOO,small_airport,Hooker Creek Airport,-18.3367004395,130.638000488,Lajamanu,AU-NT,YHOO,YHOO
YHOT,medium_airport,Mount Hotham Airport,-37.0475006104,147.333999634,Mount Hotham,AU-VIC,YHOT,YHOT
YHOV,small_airport,Hodgeson River Airfield,-15.54594,134.0956,Hodgeson River,AU-NT,,YHOV
YHOY,small_airport,Hollins Bay Airport,-22.273807,150.040326,,AU-QLD,,YHOY
YHPB,heliport,Happy Bay Helipad,-20.3358,148.8525,Long Island,AU-QLD,,YHPB
YHPE,small_airport,Hopetoun Airport,-33.900001525878906,120.15799713134766,,AU-WA,,YHPE
YHPN,medium_airport,Hopetoun Airport,-35.715302,142.360001,,AU-VIC,YHPN,YHPN
YHPV,small_airport,Hope Vale Airport,-15.2923,145.1035,Hope Vale,AU-QLD,,YHPV
YHPY,heliport,Happy Valley Heliport,-25.3363,153.2019,Fraser Island,AU-QLD,,YHPY
YHRD,small_airport,Hungerford Airport,-28.996261,144.452801,Hungerford,AU-QLD,,YHRD
YHRG,small_airport,Haddon Rig Airport,-31.465953,147.895525,,AU-NSW,,YHRG
YHSB,small_airport,Horseshoe Bend Airport,-25.216699600219727,134.26699829101562,,AU-NT,,YHSB
YHSJ,heliport,Holt Street Jetty Heliport,-27.439755,153.107561,Pinkenba,AU-QLD,,YHSJ
YHSL,small_airport,Horseshoe Lights Airport,-25.350000381469727,118.61699676513672,,AU-WA,,YHSL
YHSM,medium_airport,Horsham Airport,-36.669700622558594,142.17300415039062,,AU-VIC,YHSM,YHSM
YHTA,small_airport,Hiltaba Airport,-32.14250183105469,135.0989990234375,,AU-SA,,YHTA
YHTL,small_airport,Heathlands Airport,-11.7369,142.576996,Shelburne,AU-QLD,YHTL,YHTL
YHTN,small_airport,Herberton Airport,-17.433300018310547,145.39999389648438,,AU-QLD,,YHTN
YHTR,small_airport,Hunter Island Airport,-40.522671,144.741499,Hunter Island,AU-TAS,,YHTR
YHTS,small_airport,Harts Range Airport,-22.985000610351562,134.91799926757812,,AU-NT,,YHTS
YHUG,small_airport,Hughenden Airport,-20.815001,144.225006,Hughenden,AU-QLD,YHUG,YHUG
YHVH,small_airport,Harvest Home Airport,-20.683446,146.638854,,AU-QLD,,YHVH
YHYD,small_airport,Hyden Airport,-32.43330001831055,118.86699676513672,,AU-WA,,YHYD
YHYL,small_airport,Hoyleton Airbase,-34.029171,138.52423,Hoyleton,AU-SA,,YHYL
